2018-03-15 21:35:24,"b""RT @sugarsammy: If you're a dog or an asian, don't take United Airlines. #UnitedAirlines #UnitedAirlinesKillsDogs #unitedairlinesbeatsasian\xe2\x80\xa6"""
2018-03-15 21:34:37,b'RT @IreneCoteGSD: @united HERE\xe2\x80\x99S WHAT #UnitedAirlines NEEDS 2 DO 2 SAVE ANY FACE AT ALL FROM THE #NEEDLESS #DEATH OF #COQUITO: #1 FIRE #STE\xe2\x80\xa6'
2018-03-15 21:34:26,b'RT @SteveO_in_AZ: @bohemianmuse727 @united This is how #UnitedAirlines treated this passenger and now they are killing dogs. So disgusting\xe2\x80\xa6'
2018-03-15 21:34:24,"b'RT @BGomlicker: ""United Airlines Kills Family\'s Puppy"". If you still need confirmation that #UnitedAirlines is a complete POS airline. Unit\xe2\x80\xa6'"
2018-03-15 21:34:16,b'RT @PekalaLaw: United Airlines kills puppy. Forces it into overhead bin.\nMake United pay $$$$$$$$$$$$$$$$$$$$$$$$$$$\n#Lawsuit \n#BoycottUnit\xe2\x80\xa6'
2018-03-15 21:33:18,b'RT @PekalaLaw: United Airlines kills puppy. Forces it into overhead bin.\nMake United pay $$$$$$$$$$$$$$$$$$$$$$$$$$$\n#Lawsuit \n#BoycottUnit\xe2\x80\xa6'
2018-03-15 21:33:00,"b'RT @BGomlicker: ""United Airlines Kills Family\'s Puppy"". If you still need confirmation that #UnitedAirlines is a complete POS airline. Unit\xe2\x80\xa6'"
2018-03-15 21:32:26,b'RT @SteveO_in_AZ: @bohemianmuse727 @united This is how #UnitedAirlines treated this passenger and now they are killing dogs. So disgusting\xe2\x80\xa6'
2018-03-15 21:32:20,b'@MikhailG415 @theillestnanaG @united @SouthwestAir Couldn\xe2\x80\x99t agree more! #UnitedAirlines is horrible'
2018-03-15 21:31:52,"b""RT @ScottPresler: Don't Fly United Airlines: \n\n\xe2\x9c\x94\xef\xb8\x8fCut ties with NRA\n\xe2\x9c\x94\xef\xb8\x8fDragged Chinese Dr. off plane\n\xe2\x9c\x94\xef\xb8\x8fForced puppy into overhead bin &amp; the p\xe2\x80\xa6"""
2018-03-15 21:30:45,b'RT @IreneCoteGSD: @united HERE\xe2\x80\x99S WHAT #UnitedAirlines NEEDS 2 DO 2 SAVE ANY FACE AT ALL FROM THE #NEEDLESS #DEATH OF #COQUITO: #1 FIRE #STE\xe2\x80\xa6'
2018-03-15 21:28:26,b'#UnitedAirlines  terrible company https://t.co/8wvuOKRbY9'
2018-03-15 21:27:32,b'What a shameful company #UnitedAirlines  sux ... Never to fly with them again https://t.co/aGsdy5Elg1'
2018-03-15 21:27:13,b'Has been a Very Bad week for #UnitedAirlines https://t.co/E6DGyvVEcB'
2018-03-15 21:26:50,"b'RT @midagechick: I am a living being. Never hurt a soul. Suffocate me in an overhead bin? Mommy says \xe2\x80\x9c oh helllll no!\xe2\x80\x9d Sue United, fire the\xe2\x80\xa6'"
2018-03-15 21:26:13,b'Why does United Airlines hate animals so much? \n\n#NoUnited #PETA #BREAKING #UnitedAirlines #sucks https://t.co/7oiZqpx3ti'
2018-03-15 21:25:31,"b""#UnitedAirlines.. Here's a new for this clown airline... Waiting to board flight from Dulles to San Diego.... Ladie\xe2\x80\xa6 https://t.co/ePQemEPrBp"""
2018-03-15 21:24:53,"b'I recently took a puppy on @westjet flight, all FAs and passengers loved it. What drove @united to treat family &amp; d\xe2\x80\xa6 https://t.co/cQjoZfs4MS'"
2018-03-15 21:24:12,b'RT @Pataltschul: The employee of #UnitedAirlines who caused the death of a dog by insisting that it should be put in the overhead bin shoul\xe2\x80\xa6'
2018-03-15 21:23:32,b'RT @LeahR77: New United Airlines Motto : Fly with us we snub millions of law abiding NRA members &amp; Kill puppies \xf0\x9f\x90\xb6\n #UnitedAirlines'
2018-03-15 21:22:41,b'RT @mariamenounos: Just read on @HuffPost that 18 out of the 24 pets that died on a flight last year were on #UnitedAirlines \xe2\x80\xa6we need answe\xe2\x80\xa6'
2018-03-15 21:21:20,b'RT @TamaraSach: #UnitedAirlines under fire AGAIN this morning. The air carrier is now apologizing for accidentally putting this dog on a fl\xe2\x80\xa6'
2018-03-15 21:20:33,"b'RT @midagechick: I am a living being. Never hurt a soul. Suffocate me in an overhead bin? Mommy says \xe2\x80\x9c oh helllll no!\xe2\x80\x9d Sue United, fire the\xe2\x80\xa6'"
2018-03-15 21:20:06,"b'RT @iamsokendall: In 2017, 24 animals died in the care of US carriers. 18 of the deaths occurred while being handled by #UnitedAirlines. Of\xe2\x80\xa6'"
2018-03-15 21:19:34,"b'RT @abfabincali: #UnitedAirlines @united Another FAILURE by a United Flight Attendant, this time costing a 10 month old puppy its life. Own\xe2\x80\xa6'"
2018-03-15 21:19:17,b'Oxymoron of the day #United @united #UnitedAirlines https://t.co/fVK1PDEinU'
2018-03-15 21:14:47,b'RT @steffy2149: CANNOT believe @united Airlines Crew literally caused the suffocation and death of a puppy on a flight?! By forcing the fam\xe2\x80\xa6'
2018-03-15 21:14:18,"b""See... this why I'm hesitant to use my bf's mom's travel benefits w/ United Airlines. They stay taken L's.\xe2\x80\xa6 https://t.co/OryywDCG1O"""
2018-03-15 21:13:28,b'RT @nasrene41: @CBSThisMorning National outrage over death of this sweet pup showing how much we care about #CompanionAnimals! Do you know\xe2\x80\xa6'
2018-03-15 21:12:50,b'Every #dog lover in America should get 30 seconds in a room with puppy killing stewardess. #UnitedAirlines must rel\xe2\x80\xa6 https://t.co/i1oqbVAl9V'
2018-03-15 21:11:42,b'The latest The blog steps Daily! https://t.co/VBgbeb8O3N #pa18 #unitedairlines'
2018-03-15 21:10:25,b'RT @Pataltschul: The employee of #UnitedAirlines who caused the death of a dog by insisting that it should be put in the overhead bin shoul\xe2\x80\xa6'
2018-03-15 21:09:24,"b'RT @TheJeffuknow: @KeithOlbermann @united One experience with flying ""the friendly skies"". After a car accident on my way to catch a flight\xe2\x80\xa6'"
2018-03-15 21:08:30,b'Was just reading an article and was reminded of @united \xe2\x80\x9ctragic accident\xe2\x80\x9d. \n\nSorry @united - I don\xe2\x80\x99t call cold hear\xe2\x80\xa6 https://t.co/N7kZW24kZU'
2018-03-15 21:07:44,b'RT @nasrene41: @CBSThisMorning National outrage over death of this sweet pup showing how much we care about #CompanionAnimals! Do you know\xe2\x80\xa6'
2018-03-15 21:06:49,b'RT @REALImSoInTents: #UnitedAirlines is the #EA of airlines. @united @EA'
2018-03-15 21:04:10,b'RT @EjHirschberger: #MaxineWaters  please fly #UnitedAirlines and maybe they will lose you or at least fly you to another country!\n\n#TrumpD\xe2\x80\xa6'
2018-03-15 21:02:37,b'RT @barmore27: #MaxineWaters  please fly #UnitedAirlines and maybe they will lose you or at least fly you to another country!\n\n#TrumpDerang\xe2\x80\xa6'
2018-03-15 21:00:30,b'#unitedairlines should just discontinue #badbuisness'
2018-03-15 21:00:30,b'Grateful for our furry friends #dogs  @petmamma @BradshawShelter @SacramentoSPCA @theSPCA #dogsoftwitter\xe2\x80\xa6 https://t.co/98kXTyJFJq'
2018-03-15 21:00:05,b'United Airlines dog treatment #UnitedAirlinesKillsDogs #UnitedAirlines #UnitedKillsDogs  #dogs #travelingwithpets\xe2\x80\xa6 https://t.co/L78BMbmCEu'
2018-03-15 20:59:00,"b""RT @Tao_30: WARNING!! Don'tfly #UnitedAirlines with your PETS!!!! Dog Dies on United Flight After Attendant Forces Passenger to Stow Pet in\xe2\x80\xa6"""
2018-03-15 20:58:24,b'RT @Pataltschul: The employee of #UnitedAirlines who caused the death of a dog by insisting that it should be put in the overhead bin shoul\xe2\x80\xa6'
